year,commune_size,tour,column,empty_rows,total_rows,pct_empty
2008,plus_1000,tour1,list_name,1,8026,0.01
2008,plus_1000,tour1,elected,8026,8026,100.0
2008,plus_1000,tour1,P11_POP,686,8026,8.55
2008,plus_1000,tour1,pct_female,686,8026,8.55
2008,plus_1000,tour1,pct_male,686,8026,8.55
2008,plus_1000,tour1,pct_age_0_14,686,8026,8.55
2008,plus_1000,tour1,pct_age_15_29,686,8026,8.55
2008,plus_1000,tour1,pct_age_30_44,686,8026,8.55
2008,plus_1000,tour1,pct_age_45_59,686,8026,8.55
2008,plus_1000,tour1,pct_age_60_74,686,8026,8.55
2008,plus_1000,tour1,pct_age_75_plus,686,8026,8.55
2008,plus_1000,tour1,pct_edu_vocational,686,8026,8.55
2008,plus_1000,tour1,pct_edu_bac,686,8026,8.55
2008,plus_1000,tour1,pct_edu_higher,686,8026,8.55
2008,plus_1000,tour1,pct_unemployed,686,8026,8.55
2008,plus_1000,tour2,elected,2469,2469,100.0
2008,plus_1000,tour2,P11_POP,213,2469,8.63
2008,plus_1000,tour2,pct_female,213,2469,8.63
2008,plus_1000,tour2,pct_male,213,2469,8.63
2008,plus_1000,tour2,pct_age_0_14,213,2469,8.63
2008,plus_1000,tour2,pct_age_15_29,213,2469,8.63
2008,plus_1000,tour2,pct_age_30_44,213,2469,8.63
2008,plus_1000,tour2,pct_age_45_59,213,2469,8.63
2008,plus_1000,tour2,pct_age_60_74,213,2469,8.63
2008,plus_1000,tour2,pct_age_75_plus,213,2469,8.63
2008,plus_1000,tour2,pct_edu_vocational,213,2469,8.63
2008,plus_1000,tour2,pct_edu_bac,213,2469,8.63
2008,plus_1000,tour2,pct_edu_higher,213,2469,8.63
2008,plus_1000,tour2,pct_unemployed,213,2469,8.63
2014,plus_1000,tour1,list_name,1436,22899,6.27
2014,plus_1000,tour1,P16_POP,2516,22899,10.99
2014,plus_1000,tour1,pct_female,2516,22899,10.99
2014,plus_1000,tour1,pct_male,2516,22899,10.99
2014,plus_1000,tour1,pct_age_0_14,2516,22899,10.99
2014,plus_1000,tour1,pct_age_15_29,2516,22899,10.99
2014,plus_1000,tour1,pct_age_30_44,2516,22899,10.99
2014,plus_1000,tour1,pct_age_45_59,2516,22899,10.99
2014,plus_1000,tour1,pct_age_60_74,2516,22899,10.99
2014,plus_1000,tour1,pct_age_75_plus,2516,22899,10.99
2014,plus_1000,tour1,pct_edu_vocational,2516,22899,10.99
2014,plus_1000,tour1,pct_edu_bac,2516,22899,10.99
2014,plus_1000,tour1,pct_edu_higher,2516,22899,10.99
2014,plus_1000,tour1,pct_unemployed,2516,22899,10.99
2014,plus_1000,tour2,list_name,540,5536,9.75
2014,plus_1000,tour2,P16_POP,859,5536,15.52
2014,plus_1000,tour2,pct_female,859,5536,15.52
2014,plus_1000,tour2,pct_male,859,5536,15.52
2014,plus_1000,tour2,pct_age_0_14,859,5536,15.52
2014,plus_1000,tour2,pct_age_15_29,859,5536,15.52
2014,plus_1000,tour2,pct_age_30_44,859,5536,15.52
2014,plus_1000,tour2,pct_age_45_59,859,5536,15.52
2014,plus_1000,tour2,pct_age_60_74,859,5536,15.52
2014,plus_1000,tour2,pct_age_75_plus,859,5536,15.52
2014,plus_1000,tour2,pct_edu_vocational,859,5536,15.52
2014,plus_1000,tour2,pct_edu_bac,859,5536,15.52
2014,plus_1000,tour2,pct_edu_higher,859,5536,15.52
2014,plus_1000,tour2,pct_unemployed,859,5536,15.52
2014,less_1000,tour1,party_code,293259,293259,100.0
2014,less_1000,tour1,P16_POP,17541,293259,5.98
2014,less_1000,tour1,pct_female,17541,293259,5.98
2014,less_1000,tour1,pct_male,17541,293259,5.98
2014,less_1000,tour1,pct_age_0_14,17541,293259,5.98
2014,less_1000,tour1,pct_age_15_29,17541,293259,5.98
2014,less_1000,tour1,pct_age_30_44,17541,293259,5.98
2014,less_1000,tour1,pct_age_45_59,17541,293259,5.98
2014,less_1000,tour1,pct_age_60_74,17541,293259,5.98
2014,less_1000,tour1,pct_age_75_plus,17541,293259,5.98
2014,less_1000,tour1,pct_edu_vocational,17541,293259,5.98
2014,less_1000,tour1,pct_edu_bac,17541,293259,5.98
2014,less_1000,tour1,pct_edu_higher,17541,293259,5.98
2014,less_1000,tour1,pct_unemployed,17548,293259,5.98
2014,less_1000,tour2,P16_POP,3366,60919,5.53
2014,less_1000,tour2,pct_female,3366,60919,5.53
2014,less_1000,tour2,pct_male,3366,60919,5.53
2014,less_1000,tour2,pct_age_0_14,3366,60919,5.53
2014,less_1000,tour2,pct_age_15_29,3366,60919,5.53
2014,less_1000,tour2,pct_age_30_44,3366,60919,5.53
2014,less_1000,tour2,pct_age_45_59,3366,60919,5.53
2014,less_1000,tour2,pct_age_60_74,3366,60919,5.53
2014,less_1000,tour2,pct_age_75_plus,3366,60919,5.53
2014,less_1000,tour2,pct_edu_vocational,3366,60919,5.53
2014,less_1000,tour2,pct_edu_bac,3366,60919,5.53
2014,less_1000,tour2,pct_edu_higher,3366,60919,5.53
2014,less_1000,tour2,pct_unemployed,3366,60919,5.53
2020,plus_1000,tour1,P22_POP,742,521321,0.14
2020,plus_1000,tour1,MED21,167,521321,0.03
2020,plus_1000,tour1,TP6021,167,521321,0.03
2020,plus_1000,tour1,pct_female,742,521321,0.14
2020,plus_1000,tour1,pct_male,742,521321,0.14
2020,plus_1000,tour1,pct_age_0_14,742,521321,0.14
2020,plus_1000,tour1,pct_age_15_29,742,521321,0.14
