column,description,source,availability,notes
commune_code,INSEE commune code (5-digit),Election source file,All files,PLM communes have SR/SN suffix stripped before census join
commune_name,Name of the commune,Election source file,All files,
last_name,Candidate last name,Election source file,"All less_1000 files; 2008 plus_1000; 2026 all; absent from 2014/2020 plus_1000 results (comes from registrations join)",~0% null in 2026 (70 rows tour1)
first_name,Candidate first name,Election source file,"All less_1000 files; 2008 plus_1000; 2026 all; absent from 2014/2020 plus_1000 results (comes from registrations join)",~0% null in 2026 (68 rows tour1)
gender,Candidate gender (M/F),Election source file,All files,
party_code,Political party code,Election source file,"All plus_1000 files; absent from 2014 less_1000 tour1 source data; 64% null in 2026 tour1 (INSEE only assigns nuance codes to nationally-affiliated lists); 100% null for less_1000-sized communes in 2026","2014 less_1000 tour1 source never included party codes; 2026 small communes not assigned nuance codes"
list_name,Name of the electoral list,Election source file,"plus_1000 files; 2026 all","~5% empty in plus_1000; ~33% null in 2026 tour2 (some lists carry no name); not present in less_1000 prior to 2026"
votes,Number of votes received by candidate,Election source file,All files,
elected,Whether candidate was elected,Election source file,"All files except 2008; derived as list_rank <= seats_won for 2020/2026 plus_1000; read directly from source for less_1000 prior years; 2014 plus_1000 tour2 uses candidatures file for 215 communes (all candidates) with list-head fallback for remaining 1585 communes","100% null in 2008 — seat allocation not recorded in bureau-level source files; 2014 less_1000 tour1 source only publishes elected candidates (non-elected are absent from the file entirely) so elected=True for all rows in that file"
P08_POP,Total commune population (2008 census proxy),INSEE dossier_complet.csv P11 columns,2008 files,Derived from 2011 census (closest available); dossier_complet used because BTT 2008 suppresses data for small communes (~28000 of 36676 communes have NB=0)
P14_POP,Total commune population (2014 census),INSEE BTT_TD_POP1A_2014,2014 files,POP_TOTAL summed across all age bands and sexes from BTT long-format file; commune codes crosswalked via table_passage_annuelle_2026.xlsx where needed
P19_POP,Total commune population (2019 census proxy for 2020),INSEE BTT_TD_POP1A_2019,2020 files,POP_TOTAL summed across all age bands and sexes from BTT long-format file; commune codes crosswalked via table_passage_annuelle_2026.xlsx where needed
P22_POP,Total commune population (2022 census proxy for 2026),INSEE BTT_TD_POP1A_2022,2026 files,POP_TOTAL summed across all age bands and sexes from BTT long-format file; commune codes crosswalked via table_passage_annuelle_2026.xlsx where needed
pct_female,Percentage of commune population that is female,Derived from census,All files,"2008: P11_POPF / P11_POP * 100 (dossier_complet); 2014/2020/2026: BTT POP_F / POP_TOTAL * 100"
pct_male,Percentage of commune population that is male,Derived from census,All files,"2008: P11_POPH / P11_POP * 100 (dossier_complet); 2014/2020/2026: BTT POP_M / POP_TOTAL * 100"
pct_age_0_14,Percentage of population aged 0–14,Derived from census,All files,"2008: P11_POP0014 / P11_POP * 100 (dossier_complet exact); 2014/2020/2026: interpolated from BTT bands — (AGE_00 + AGE_03 + AGE_06 + 4/7*AGE_11) / POP_TOTAL * 100"
pct_age_15_29,Percentage of population aged 15–29,Derived from census,All files,"2008: P11_POP1529 / P11_POP * 100 (dossier_complet exact); 2014/2020/2026: interpolated from BTT bands — (3/7*AGE_11 + AGE_18 + 1/3*AGE_25) / POP_TOTAL * 100"
pct_age_30_44,Percentage of population aged 30–44,Derived from census,All files,"2008: P11_POP3044 / P11_POP * 100 (dossier_complet exact); 2014/2020/2026: interpolated from BTT bands — (2/3*AGE_25 + 1/3*AGE_40) / POP_TOTAL * 100"
pct_age_45_59,Percentage of population aged 45–59,Derived from census,All files,"2008: P11_POP4559 / P11_POP * 100 (dossier_complet exact); 2014/2020/2026: interpolated from BTT bands — (2/3*AGE_40 + 1/2*AGE_55) / POP_TOTAL * 100"
pct_age_60_74,Percentage of population aged 60–74,Derived from census,All files,"2008: P11_POP6074 / P11_POP * 100 (dossier_complet exact); 2014/2020/2026: interpolated from BTT bands — (1/2*AGE_55 + 2/3*AGE_65) / POP_TOTAL * 100"
pct_age_75_plus,Percentage of population aged 75 and over,Derived from census,All files,"2008: (P11_POP7589 + P11_POP90P) / P11_POP * 100 (dossier_complet exact); 2014/2020/2026: interpolated from BTT bands — (1/3*AGE_65 + AGE_80) / POP_TOTAL * 100"
