commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P11_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
01004,Ambérieu-en-Bugey,CASTELLANO,Sandrine,F,LDVD,AVEC VOUS POUR AMBERIEU,1632,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01004,Ambérieu-en-Bugey,EXPOSITO,Josiane,F,LUG,AMBERIEU-AMBITION,1927,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01004,Ambérieu-en-Bugey,PAVIER,Bernard,M,LGC,AMBERIEU POUR TOUS !,517,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01004,Ambérieu-en-Bugey,SASSO,Jean-Marc,M,LDVD,ENSEMBLE POUR AMBERIEU,474,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01034,Belley,FOGNINI,Jean-Marc,M,LDVG,CHANGEONS BELLEY ENSEMBLE,1845,,8761.0,52.65,47.35,18.66,17.41,18.7,18.43,14.02,12.78,25.03,15.9,8.67,13.04
01034,Belley,TRAVERS,Jean-Claude,M,LMAJ,POUR BELLEY DEMAIN,1744,,8761.0,52.65,47.35,18.66,17.41,18.7,18.43,14.02,12.78,25.03,15.9,8.67,13.04
01043,Beynost,BARDIN,Christian,M,LDVD,"POUR BEYNOST, UNE VIE DIFFERENTE",406,,4471.0,50.24,49.76,21.42,15.62,20.89,21.21,14.14,6.73,23.3,17.3,17.19,5.83
01043,Beynost,CADET,Isabelle,F,LDVD,UN NOUVEAU VISAGE POUR BEYNOST,556,,4471.0,50.24,49.76,21.42,15.62,20.89,21.21,14.14,6.73,23.3,17.3,17.19,5.83
01043,Beynost,NICOD,Michel,M,LDVD,BEYNOST AUTREMENT,949,,4471.0,50.24,49.76,21.42,15.62,20.89,21.21,14.14,6.73,23.3,17.3,17.19,5.83
01093,Châtillon-sur-Chalaronne,RENOUD-GRAPPIN,Michel,M,LDVG,"CHATILLON, UN TEMPS D'AVANCE",801,,4940.0,52.12,47.88,17.73,17.39,17.31,17.59,16.1,13.88,24.86,19.99,8.38,10.29
01093,Châtillon-sur-Chalaronne,CLAYETTE,Yves,M,LMAJ,VIVONS CHATILLON ENSEMBLE,1182,,4940.0,52.12,47.88,17.73,17.39,17.31,17.59,16.1,13.88,24.86,19.99,8.38,10.29
01093,Châtillon-sur-Chalaronne,PADET,Philippe,M,LDVD,INITIATIVE COMMUNE,291,,4940.0,52.12,47.88,17.73,17.39,17.31,17.59,16.1,13.88,24.86,19.99,8.38,10.29
01160,Ferney-Voltaire,DUTY,Pierre-Etienne,M,LDVD,FERNEY UNE AMBITION PARTAGEE,591,,8452.0,52.52,47.48,19.07,18.68,26.19,19.16,11.56,5.33,13.4,17.09,35.15,13.57
01160,Ferney-Voltaire,FAURE,Fabienne,F,LCMD,FERNEY-VOLTAIRE POUR TOUS,640,,8452.0,52.52,47.48,19.07,18.68,26.19,19.16,11.56,5.33,13.4,17.09,35.15,13.57
01160,Ferney-Voltaire,LANDREAU,Christian,M,LDVD,J'AIME FERNEY,216,,8452.0,52.52,47.48,19.07,18.68,26.19,19.16,11.56,5.33,13.4,17.09,35.15,13.57
01160,Ferney-Voltaire,MEYLAN,François,M,LVEC,FERNEY AVENIR,869,,8452.0,52.52,47.48,19.07,18.68,26.19,19.16,11.56,5.33,13.4,17.09,35.15,13.57
01283,Oyonnax,PERRAUD,Michel,M,LDVD,TRANSFORMER OYONNAX,3390,,22459.0,50.73,49.27,21.39,17.78,19.98,18.95,13.36,8.54,20.2,12.82,6.06,18.75
01283,Oyonnax,ODOBET,Serge,M,LUG,OYONNAX AUTREMENT,2094,,22459.0,50.73,49.27,21.39,17.78,19.98,18.95,13.36,8.54,20.2,12.82,6.06,18.75
02095,Bohain-en-Vermandois,MAUDENS,Eric,M,LDVD,CROIRE EN BOHAIN,1031,,5921.0,53.17,46.83,20.42,19.17,16.93,19.77,12.62,11.09,24.37,12.08,2.05,26.88
02095,Bohain-en-Vermandois,BRICOUT,Jean-Louis,M,LUG,NOUVEAU CAP,1160,,5921.0,53.17,46.83,20.42,19.17,16.93,19.77,12.62,11.09,24.37,12.08,2.05,26.88
02095,Bohain-en-Vermandois,DORMION,Daniel,M,LDVG,UNE EQUIPE MOTIVEE POUR BOHAIN,599,,5921.0,53.17,46.83,20.42,19.17,16.93,19.77,12.62,11.09,24.37,12.08,2.05,26.88
02168,Château-Thierry,DJELLAL,Robert,M,LMAJ,LE RENOUVEAU CASTEL,727,,14413.0,53.83,46.17,18.23,19.63,19.42,18.89,13.34,10.48,24.53,14.0,11.94,19.52
02168,Château-Thierry,JOURDAIN,Dominique,M,LSOC,"CHATEAU-THIERRY, J'AIME MA VILLE",2197,,14413.0,53.83,46.17,18.23,19.63,19.42,18.89,13.34,10.48,24.53,14.0,11.94,19.52
02168,Château-Thierry,KRABAL,Jacques,M,LDVG,CHATEAU-THIERRY POUR TOUS RASSEMBLEMENT DES CITOYENS,3164,,14413.0,53.83,46.17,18.23,19.63,19.42,18.89,13.34,10.48,24.53,14.0,11.94,19.52
02722,Soissons,DAY,Patrick,M,LUG,La gauche unie pour le changement à Soissons,5496,,28551.0,53.25,46.75,18.57,19.87,17.34,19.69,13.69,10.84,22.14,13.68,8.1,21.62
02722,Soissons,ERRASTI,Edith,F,LMAJ,Soissons avec vous,4172,,28551.0,53.25,46.75,18.57,19.87,17.34,19.69,13.69,10.84,22.14,13.68,8.1,21.62
02810,Villers-Cotterêts,GERVAIS,Jean-Claude,M,LDVD,ENSEMBLE AUTREMENT,1363,,10411.0,50.67,49.33,20.22,20.9,18.85,19.43,12.8,7.8,25.22,14.37,6.05,15.61
02810,Villers-Cotterêts,BELLIERE,Renaud,M,LCMD,VILLERS EN MOUVEMENT,714,,10411.0,50.67,49.33,20.22,20.9,18.85,19.43,12.8,7.8,25.22,14.37,6.05,15.61
02810,Villers-Cotterêts,BRIFFAUT,Franck,M,LFN,"POUR FAIRE CHANGER VILLERS, soutenue par le Front national",508,,10411.0,50.67,49.33,20.22,20.9,18.85,19.43,12.8,7.8,25.22,14.37,6.05,15.61
02810,Villers-Cotterêts,PRUSKI,Jean-Claude,M,LUG,"TOUS ENSEMBLE, CHANGEONS VILLERS",1444,,10411.0,50.67,49.33,20.22,20.9,18.85,19.43,12.8,7.8,25.22,14.37,6.05,15.61
03023,Bellerive-sur-Allier,BONJEAN,Bruno,M,LDVG,BELLERIVE SE RESSOURCE,419,,8530.0,54.21,45.79,13.99,12.5,14.99,20.4,20.62,17.5,23.26,16.23,11.08,12.94
03023,Bellerive-sur-Allier,DESCHAMPS,Jean-Pierre,M,LDVD,BELLERIVE ALTERNATIVE,1641,,8530.0,54.21,45.79,13.99,12.5,14.99,20.4,20.62,17.5,23.26,16.23,11.08,12.94
03023,Bellerive-sur-Allier,GUERRE,Jean-Michel,M,LUG,ENSEMBLE POUR BELLERIVE,2010,,8530.0,54.21,45.79,13.99,12.5,14.99,20.4,20.62,17.5,23.26,16.23,11.08,12.94
