year,commune_size,tour,column,empty_rows,total_rows,pct_empty
2014,less_1000,tour1,party_code,293259,293259,100.0
2008,plus_1000,tour1,elected,8026,8026,100.0
2008,plus_1000,tour2,elected,2469,2469,100.0
2026,all,tour1,party_code,575656,889142,64.74
2026,all,tour2,list_name,59664,183333,32.54
2026,all,tour2,party_code,32628,183333,17.8
2014,plus_1000,tour1,pct_age_30_44,2365,22899,10.33
2014,plus_1000,tour1,P14_POP,2365,22899,10.33
2014,plus_1000,tour1,pct_age_75_plus,2365,22899,10.33
2014,plus_1000,tour1,pct_age_60_74,2365,22899,10.33
2014,plus_1000,tour1,pct_age_45_59,2365,22899,10.33
2014,plus_1000,tour1,pct_age_15_29,2365,22899,10.33
2014,plus_1000,tour1,pct_age_0_14,2365,22899,10.33
2014,plus_1000,tour1,pct_male,2365,22899,10.33
2014,plus_1000,tour1,pct_female,2365,22899,10.33
2008,plus_1000,tour2,pct_age_0_14,213,2469,8.63
2008,plus_1000,tour2,pct_age_30_44,213,2469,8.63
2008,plus_1000,tour2,pct_age_45_59,213,2469,8.63
2008,plus_1000,tour2,pct_age_60_74,213,2469,8.63
2008,plus_1000,tour2,pct_age_75_plus,213,2469,8.63
2008,plus_1000,tour2,pct_male,213,2469,8.63
2008,plus_1000,tour2,pct_female,213,2469,8.63
2008,plus_1000,tour2,P08_POP,213,2469,8.63
2008,plus_1000,tour2,pct_age_15_29,213,2469,8.63
2008,plus_1000,tour1,pct_age_30_44,686,8026,8.55
2008,plus_1000,tour1,P08_POP,686,8026,8.55
2008,plus_1000,tour1,pct_female,686,8026,8.55
2008,plus_1000,tour1,pct_male,686,8026,8.55
2008,plus_1000,tour1,pct_age_0_14,686,8026,8.55
2008,plus_1000,tour1,pct_age_15_29,686,8026,8.55
2008,plus_1000,tour1,pct_age_45_59,686,8026,8.55
2008,plus_1000,tour1,pct_age_60_74,686,8026,8.55
2008,plus_1000,tour1,pct_age_75_plus,686,8026,8.55
2014,plus_1000,tour1,list_name,1436,22899,6.27
2014,plus_1000,tour2,P14_POP,832,24628,3.38
2014,plus_1000,tour2,pct_female,832,24628,3.38
2014,plus_1000,tour2,pct_male,832,24628,3.38
